,row,level,strength,time,type
0,80,70.07,0.8015719389569065,2024-09-05 05:00:00,resistance
1,122,68.78,0.8270165636550614,2024-09-08 23:00:00,resistance
2,178,67.58,1.0,2024-09-11 07:00:00,resistance
3,233,68.47,0.738763247741375,2024-09-13 14:00:00,support
4,237,69.39,0.8751733190429475,2024-09-15 18:00:00,resistance
5,253,70.7,0.8800489238441712,2024-09-16 10:00:00,resistance
6,273,69.61,0.7853179065634253,2024-09-17 06:00:00,support
7,280,71.92,1.0,2024-09-17 13:00:00,resistance
8,337,70.77,0.9060950097975737,2024-09-19 22:00:00,support
9,445,66.95,1.0,2024-09-26 10:00:00,support
10,463,68.13,0.9625257649065033,2024-09-27 04:00:00,resistance
11,512,66.33,1.0,2024-10-01 05:00:00,support
